"Network_Type","Round","Guess"
"Decentralized",1,175
"Decentralized",1,211
"Decentralized",1,150
"Decentralized",1,150
"Decentralized",1,280
"Decentralized",1,156
"Decentralized",1,156
"Decentralized",1,274
"Decentralized",1,174
"Decentralized",1,273
"Decentralized",1,73
"Decentralized",1,176
"Decentralized",1,213
"Decentralized",1,238
"Decentralized",1,174
"Decentralized",1,280
"Decentralized",1,213
"Decentralized",1,124
"Decentralized",2,250
"Decentralized",2,192
"Decentralized",2,167
"Decentralized",2,150
"Decentralized",2,160
"Decentralized",2,234
"Decentralized",2,160
"Decentralized",2,182
"Decentralized",2,180
"Decentralized",2,200
"Decentralized",2,98
"Decentralized",2,202
"Decentralized",2,226
"Decentralized",2,248
"Decentralized",2,190
"Decentralized",2,230
"Decentralized",2,246
"Decentralized",2,203
"Centralized",1,250
"Centralized",1,352
"Centralized",1,418
"Centralized",1,315
"Centralized",1,350
"Centralized",1,319
"Centralized",1,244
"Centralized",1,327
"Centralized",1,203
"Centralized",1,352
"Centralized",1,274
"Centralized",1,341
"Centralized",1,403
"Centralized",1,387
"Centralized",1,286
"Centralized",1,350
"Centralized",1,310
"Centralized",1,367
"Centralized",2,292
"Centralized",2,327
"Centralized",2,389
"Centralized",2,323
"Centralized",2,355
"Centralized",2,274
"Centralized",2,275
"Centralized",2,327
"Centralized",2,212
"Centralized",2,292
"Centralized",2,274
"Centralized",2,348
"Centralized",2,386
"Centralized",2,366
"Centralized",2,286
"Centralized",2,375
"Centralized",2,310
"Centralized",2,367
